Weapon key,Unused,price,buildPoints,weight,Unused,Unused,HP,GfxFile,MountGfx,muzzleGfx,flightGfx,hitGfx,missGfx,waterGfx,trailGfx,shortRange,longRange,shortHit,longHit,firePause,Unused,numRounds,reloadTime,damage,splash radius,splash chance,splash damage,incenTime,incenDamage,incenRadius,directLife,radiusLife,flightSpeed,Unused,fireOnMove,weaponClass,weaponSubClass,movement,weaponEffect,rotate,maxElevation,minElevation,facePlayer,faceInFlight,recoilValue,minRange,LightWorld,effectSize,surfaceToAir,numAttackRuns,designable,penetrate
Rocket-VTOL-LtA-T,Level All,100,500,250,1,10,20,GNMRCKTA.PIE,TRMRCKTA.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1152,50,60,1,2,2,120,165,0,0,0,0,0,0,0,10,1800,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,NO,0,128,YES,50,100,1,1,0
Rocket-VTOL-HvyA-T,Level All,250,1250,750,1,10,40,Gnmrcktb.PIE,Trmrcktb.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,512,1152,50,60,1,2,2,160,240,0,0,0,0,0,0,0,10,1500,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,NO,0,128,YES,75,100,1,1,0
Rocket-VTOL-BB,Level All,150,750,750,1,10,30,Gnmrktbb.PIE,TRMRKTBB.PIE,FXLRocPd.PIE,FXSPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1152,50,70,200,2,0,0,200,0,0,0,0,0,0,10,10,1800,20,YES,KINETIC,ROCKET,DIRECT,BUNKER BUSTER,180,20,-60,YES,NO,0,128,YES,25,0,1,1,0
Rocket-Pod,Level All,75,375,200,1,10,30,GNLRCKTP.PIE,TRLRCKTP.PIE,FXLRocPd.PIE,FXMflare.PIE,FXMPExp.PIE,FXMPExp.PIE,FXSSplsh.PIE,0,512,1088,40,45,10,2,0,0,22,0,0,0,0,0,0,10,10,2250,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,YES,10,128,YES,25,100,0,1,0
Rocket-MRL,Level All,100,500,250,1,10,40,GNMRCKT.PIE,TRMRCKT.PIE,FXMRoc.PIE,FXMflare.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1152,45,52,1,2,8,165,29,64,100,29,0,0,0,0,10,2000,20,YES,KINETIC,ROCKET,INDIRECT,ARTILLERY ROUND,180,90,-60,YES,YES,0,128,YES,25,0,0,1,0
Rocket-Sunburst,Level All,200,500,250,1,10,40,gnmair3.pie,trmair3.pie,FXATMiss.PIE,FXMflare.PIE,FXMExp.PIE,FXSExp.PIE,FXSSplsh.PIE,0,1024,1536,30,50,1,2,6,145,75,128,100,50,0,0,0,0,10,2250,20,YES,KINETIC,ROCKET,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,YES,10,128,YES,100,1,0,1,0
Rocket-VTOL-Sunburst,Level All,150,500,250,1,10,40,gnmair3.pie,trmair3.pie,FXATMiss.PIE,FXMflare.PIE,FXMExp.PIE,FXSExp.PIE,FXSSplsh.PIE,0,1024,2048,30,50,1,2,6,100,120,0,0,0,0,0,0,0,10,2250,20,YES,KINETIC,ROCKET,HOMING-DIRECT,ANTI TANK,180,45,-45,YES,YES,10,128,YES,100,1,6,1,0
Rocket-LtA-T,Level All,150,500,250,1,10,20,GNMRCKTA.PIE,TRMRCKTA.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1152,30,60,1,2,2,160,105,0,0,0,0,0,0,0,10,1700,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,NO,0,128,YES,50,0,0,1,0
Rocket-IDF,Level All,300,1500,10000,1,10,15,GNHRCKT.PIE,TRHRCKT.PIE,FXLRocPd.PIE,FXHPLME.PIE,FXMNExp.PIE,FXMNExp.PIE,FXSSplsh.PIE,0,1024,11008,40,80,1,2,8,600,45,64,100,50,0,0,0,0,0,1500,10,NO,KINETIC,ROCKET,INDIRECT,ARTILLERY ROUND,0,90,-60,YES,NO,0,640,YES,50,0,0,1,0
Rocket-HvyA-T,Level All,200,1250,300,1,10,40,Gnmrcktb.pie,Trmrcktb.pie,FXMRocAt.PIE,FXMPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1280,30,60,1,2,2,200,180,0,0,0,0,0,0,0,10,1700,20,YES,KINETIC,ROCKET,DIRECT,ANTI TANK,180,90,-60,YES,NO,0,128,YES,75,0,0,1,0
Rocket-BB,Level All,150,750,250,1,10,30,Gnmrktbb.PIE,TRMRKTBB.PIE,FXLRocPd.PIE,FXSPLME.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,512,1280,60,70,200,2,0,0,175,0,0,0,0,0,0,10,10,1700,20,YES,KINETIC,ROCKET,DIRECT,BUNKER BUSTER,180,90,-60,YES,NO,0,128,YES,25,0,0,1,0
RailGun3Mk1,Level Three,400,1600,5000,1,120,700,GNHGSS.PIE,TRHGSS.PIE,FXHGauss.PIE,FXGammoH.PIE,Fxflech2.PIE,Fxflech2.PIE,FXVLSWav.PIE,0,1024,1792,80,70,60,1,0,0,300,192,100,150,0,0,0,10,10,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,100,0,YES,150,0,0,1,1
RailGun2Mk1,Level Three,300,1200,2000,1,80,500,GNMGSS.PIE,TRMGSS.PIE,FXMGauss.PIE,FXGammoM.PIE,Fxflech2.PIE,Fxflech2.PIE,FXMSWave.PIE,0,768,1536,80,70,50,1,0,0,220,160,100,110,0,0,0,0,0,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,0,0,YES,100,0,0,1,1
RailGun2-VTOL,Level Three,300,1200,1000,1,80,500,GNMGSS.PIE,TRMGSS.PIE,FXMGauss.PIE,FXGammoM.PIE,Fxflech2.PIE,Fxflech2.PIE,FXMSWave.PIE,0,768,1536,80,70,50,1,0,0,440,160,100,220,0,0,0,0,0,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,0,-60,YES,NO,0,0,YES,100,0,2,1,1
RailGun1Mk1,Level Three,250,1000,400,1,20,400,GNLGSS.PIE,TRLGSS.PIE,FXLGauss.PIE,FXGAmmo.PIE,FXFlecht.PIE,FXFlecht.PIE,FXFlecht.PIE,0,768,1408,80,70,40,1,0,0,160,96,100,80,0,0,0,10,0,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,0,0,NO,100,0,0,1,1
RailGun1-VTOL,Level Three,250,1000,600,1,20,400,GNLGSS.PIE,TRLGSS.PIE,FXLGauss.PIE,FXGAmmo.PIE,FXFlecht.PIE,FXFlecht.PIE,FXFlecht.PIE,0,768,1408,70,60,40,1,0,0,320,96,100,160,0,0,0,10,0,1800,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,0,-60,YES,NO,0,0,NO,75,0,3,1,1
QuadRotAAGun,Level Two-Three,150,1200,10000,1,20,200,gnhair2.PIE,TRHAIR.PIE,FXCan40m.PIE,FXAALSH2.PIE,FXAIREXP.PIE,FXAIREXP.PIE,FXSSplsh.PIE,0,768,2048,70,75,4,2,0,0,90,64,100,60,0,0,0,10,100,2250,20,YES,KINETIC,A-A GUN,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,NO,20,0,YES,20,1,0,1,0
QuadMg1AAGun,Level All,100,400,10000,1,20,175,gnlair.PIE,TRMAIR.PIE,FXCan40m.PIE,FXAALSHT.PIE,FXAIREXP.PIE,FXAIREXP.PIE,FXSSplsh.PIE,0,768,2048,70,75,6,2,0,0,70,64,100,50,0,0,0,10,100,2250,20,YES,KINETIC,A-A GUN,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,NO,30,0,YES,20,1,0,1,0
PlasmiteFlamer,Level Three,160,400,5000,1,10,75,GNMFLMRP.PIE,TRMFLMRP.PIE,FXCan20m.PIE,FXLProj.PIE,FXMNExp.PIE,FXMNExp.PIE,FXSSplsh.PIE,0,384,512,75,50,20,1,0,0,63,0,0,0,50,42,60,10,0,700,20,YES,HEAT,FLAME,DIRECT,FLAMER,180,90,-60,YES,NO,0,64,YES,1,0,0,1,1
PlasmaHeavy,Level Three,75,375,10000,1,10,5,GNHPLASM.PIE,TRHPLASM.PIE,FXMHowt.PIE,FXMflare.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,1920,9984,40,99,60,2,0,0,500,256,100,250,25,100,32,10,10,400,20,NO,HEAT,FLAME,INDIRECT,ANTI TANK,180,90,-30,YES,YES,50,768,YES,200,0,0,0,0
NX-CyborgPulseLas,Level All,105,375,120,1,10,100,CY_LAS.PIE,Cybodyjp.pie,FXLasRot.PIE,FXLFLSH.PIE,FXFLSHL.PIE,FXFLSHL.PIE,FXFLSHL.PIE,0,768,1536,80,65,30,1,0,0,100,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,10,0,YES,100,0,0,0,0
NX-CyborgMiss,Level All,215,700,120,1,10,100,CY_MISS.PIE,Cybodyjp.pie,FXLRocPd.PIE,FXMflare.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,2048,70,80,100,2,0,0,300,0,0,0,0,0,0,0,10,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-60,YES,NO,20,64,YES,50,100,0,0,0
NX-CyborgChaingun,Level All,9,50,120,1,10,50,cy_gun.pie,Cybodyjp.pie,FXLMgun2.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,70,50,6,1,0,0,13,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,0,0,0,0
NX-Cyb-Rail1,Level All,170,800,120,1,20,100,CY_RAIL.PIE,Cybodyjp.pie,FXLGauss.PIE,FXGAmmo.PIE,FXFlecht.PIE,FXFlecht.PIE,FXFlecht.PIE,0,768,1536,80,70,30,1,0,0,140,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,GAUSS,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,50,0,NO,100,0,0,0,0
NEXUSlink,Level Three,75,375,0,0,0,300,GNHECM3.PIE,TRHECM3.PIE,FXHBLas.PIE,FXMflare.PIE,FXSFlms.PIE,FXSFlms.PIE,FXSFlms.PIE,0,512,896,99,100,20,0,0,0,10,0,0,0,0,0,0,0,0,2500,0,NO,HEAT,ELECTRONIC,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,0,0,YES,100,0,0,0,0
MortarEMP,Level Three,200,2000,5000,1,25,5,gnhmorte.PIE,TRHRMORT.PIE,FXMMort.PIE,FXSFlms.PIE,FXSFlms.PIE,FXLExp.PIE,FXSFlms.PIE,0,1152,2304,40,50,90,2,0,0,60,160,100,60,0,0,0,0,10,1500,20,NO,KINETIC,EMP,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,150,128,YES,100,0,0,1,0
Mortar3ROTARYMk1,Level Two-Three,300,900,1000,1,50,5,GNHMORT.PIE,TRHRMORT.PIE,FXMMort.PIE,FXCAmmo.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1152,2304,40,50,18,2,0,0,60,160,100,40,0,0,0,0,10,1500,20,NO,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,150,128,YES,100,0,0,1,0
Mortar2Mk1,Level All,200,1000,5000,1,25,5,GNHMORT2.PIE,TRHRMORT.PIE,FXMMort.PIE,FXCAmmo.PIE,FXMNExp.PIE,FXLExp.PIE,FXMNExp.PIE,0,1152,2304,40,50,90,2,0,0,120,192,100,80,0,0,0,0,10,1500,20,NO,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,150,128,YES,100,0,0,1,0
Mortar1Mk1,Level One-Two,100,500,2000,1,20,5,GNMMORT.PIE,TRMMORT.PIE,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1152,2304,40,50,60,2,0,0,60,160,100,40,0,0,0,0,10,1500,20,NO,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,150,128,YES,75,0,0,1,0
Mortar-Incenediary,Level Three,200,750,2000,1,20,5,GNMMORTI.PIE,TRMMORT.PIE,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1152,2304,40,50,60,2,0,0,80,160,100,50,60,22,128,0,10,1500,20,NO,HEAT,MORTARS,INDIRECT,ARTILLERY ROUND,0,90,0,YES,NO,150,128,YES,75,0,0,1,0
Missile-VTOL-AT,Level Two-Three,300,1200,750,1,10,20,Gnmmslat.PIE,Trmmslat.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,2048,70,80,0,2,2,75,480,160,100,20,0,0,0,0,10,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,20,-30,YES,NO,20,0,YES,50,100,1,1,0
Missile-MdArt,Level All,400,1200,1000,1,10,50,Gnmmslaa.PIE,Trmmslaa.PIE,FXMMort.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXMExp.PIE,0,896,1920,55,65,2,2,8,135,110,96,100,90,0,0,0,0,10,1400,20,YES,KINETIC,MISSILE,HOMING-INDIRECT,ARTILLERY ROUND,180,90,-30,YES,NO,10,256,YES,100,0,0,1,0
Missile-LtSAM,Level Two-Three,200,800,400,1,10,50,Gnmmslsa.PIE,Trmmslsa.PIE,FXATMiss.PIE,FXMflare.PIE,FXMExp.PIE,FXSExp.PIE,FXSSplsh.PIE,0,2048,2562,70,80,5,2,2,100,450,0,0,0,0,0,0,0,10,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,YES,25,128,YES,100,1,0,1,0
Missile-HvySAM,Level Two-Three,300,1200,6000,1,10,10,Gnhmslsa.PIE,Trhmslsa.PIE,FXICBM.PIE,FXMflare.PIE,FXMExp.PIE,FXMExp.PIE,FXMExp.PIE,0,2048,2562,70,80,5,2,4,100,450,0,0,0,0,0,0,0,10,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-45,YES,YES,25,512,YES,100,1,0,1,0
Missile-HvyArt,Level Two-Three,500,1500,10000,1,10,50,gnhmslab.PIE,trhmslab.PIE,FXICBM.PIE,FXHPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXMExp.PIE,0,2048,15360,50,80,5,1,6,300,160,96,100,160,0,0,0,0,10,1250,20,NO,KINETIC,MISSILE,HOMING-INDIRECT,ARTILLERY ROUND,0,45,-30,YES,NO,25,512,YES,100,0,0,1,0
Missile-A-T,Level Three,300,1200,400,1,10,20,Gnmmslat.PIE,Trmmslat.PIE,FXMRocAt.PIE,FXMPLME.PIE,FXMExp.PIE,FXMExp.PIE,FXSSplsh.PIE,0,640,1792,50,80,2,2,2,100,360,0,0,0,0,0,0,0,0,1350,20,YES,KINETIC,MISSILE,HOMING-DIRECT,ANTI TANK,180,90,-30,YES,NO,20,256,YES,50,0,0,1,0
MG5TWINROTARY,Level Three,120,500,600,1,20,125,Gnhmg1.PIE,Trhmg.PIE,FXMgnVul.PIE,FXTracr2.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,768,1152,75,50,4,2,0,0,28,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,30,0,NO,100,100,0,1,0
MG4ROTARYMk1,Level Two-Three,100,500,600,1,20,125,GNMMG2.PIE,TRMMG.PIE,FXMgnVul.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,768,1152,75,50,4,1,0,0,19,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,30,0,NO,100,100,0,1,0
MG4ROTARY-VTOL,Level Two-Three,100,500,300,1,20,185,GNMMG2.PIE,TRMMG.PIE,FXMgnVul.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,768,1152,75,50,4,1,0,0,28,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,30,0,NO,100,100,36,1,0
MG4ROTARY-Pillbox,Level Two-Three,100,500,600,1,20,175,0,0,FXMgnVul.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,768,1152,75,50,4,1,0,0,19,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,30,0,NO,100,0,0,0,0
MG3Mk1,Level All,50,250,600,1,15,75,GNMMG1.PIE,TRMMG.PIE,FXMgnVic.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,75,50,7,1,0,0,17,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,150,100,0,1,0
MG3-VTOL,Level All,50,250,300,1,15,95,GNMMG1.PIE,TRMMG.PIE,FXMgnVic.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,75,50,7,1,0,0,27,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,20,0,NO,150,100,15,1,0
MG3-Pillbox,Level All,50,250,600,1,15,95,0,0,FXMgnVic.PIE,fxtracerh.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,640,960,75,50,7,1,0,0,17,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,30,0,NO,150,0,0,0,0
MG2Mk1,Level All,25,125,400,1,10,75,GNLMG2.PIE,TRLMG2.PIE,FXLMgun2.PIE,fxtracer_twin.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,832,75,50,6,1,0,0,14,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,100,0,1,0
MG2-VTOL,Level All,25,125,350,1,10,95,GNLMG2.PIE,TRLMG2.PIE,FXLMgun2.PIE,fxtracer_twin.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,832,75,50,6,1,0,0,21,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,20,0,NO,100,100,18,1,0
MG2-Pillbox,Level All,25,125,400,1,10,95,0,0,FXLMgun2.PIE,fxtracer_twin.pie,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,832,75,50,6,1,0,0,14,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,100,0,NO,100,0,0,0,0
MG1Mk1,Level All,10,50,200,1,5,75,GNLMG1.PIE,TRLMG1.PIE,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,75,50,5,1,0,0,10,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,20,0,NO,100,100,0,1,0
MG1-VTOL,Level All,10,50,200,1,5,75,GNLMG1.PIE,TRLMG1.PIE,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,75,50,5,1,0,0,15,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,20,0,NO,100,100,21,1,0
MG1-Pillbox,Level All,10,50,200,0,5,75,0,0,FXLMgun.PIE,FXTracer.PIE,FXMETHIT.PIE,FXDIRTsp.PIE,FXSSplsh.PIE,0,512,768,75,50,5,1,0,0,10,0,0,0,0,0,0,10,0,1500,20,YES,KINETIC,MACHINE GUN,DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,100,0,NO,100,0,0,0,0
LasSat,Level Three,100,500,600,1,10,500,gnlassat.pie,trlassat.pie,FXHBLas.PIE,FXBeam.PIE,FXMelt.PIE,FXSFlms.PIE,FXSFlms.PIE,0,640,23040,100,100,3000,1,0,0,5400,512,100,3200,60,720,512,10,0,1500,20,NO,HEAT,LAS_SAT,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,0,0,YES,100,0,0,0,0
Laser4-PlasmaCannon,Level Three,750,1000,30000,1,10,50,GNHPLSMA.PIE,TRHLAS.PIE,FXHBLas.PIE,FXSHgssA.PIE,FXFlech4.PIE,FXFlech4.PIE,FXVLSWav.PIE,0,960,1280,65,65,150,1,0,0,500,320,100,500,0,0,0,10,0,1500,20,NO,HEAT,CANNON,DIRECT,ALL ROUNDER,180,90,-60,YES,NO,150,0,YES,200,0,0,1,0
Laser3BEAMMk1,Level Three,150,600,300,1,10,100,GNMRLAS.PIE,TRMLAS.PIE,FXHBLas.PIE,FXLFLSH.PIE,FXFLSHL.PIE,FXFLSHL.PIE,FXFLSHL.PIE,0,1536,1536,80,80,20,1,0,0,100,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,90,-60,YES,NO,10,0,YES,100,100,0,1,0
Laser3BEAM-VTOL,Level Three,150,600,300,1,10,50,GNMRLAS.PIE,TRMLAS.PIE,FXHBLas.PIE,FXLFLSH.PIE,FXFLSHL.PIE,FXFLSHL.PIE,FXFLSHL.PIE,0,1536,1536,80,80,20,1,8,15,160,0,0,0,0,0,0,10,0,3200,20,YES,HEAT,ENERGY,HOMING-DIRECT,ANTI PERSONNEL,180,15,-90,YES,NO,10,0,YES,100,100,2,1,0
