RES_CYMET4_MSG1			_("Cyborg Materials Improved")

RES_EMP_AA3_MSG1			_("New Defensive Structure Available")
RES_EMP_AA3_MSG2			_("AA Site with Whirlwind Gun Turret")
RES_EMP_AA3_MSG3			_("Automatically targets VTOLs")
RES_EMP_AA3_MSG4			_("Defensive Strength: Medium")

RES_EMP_IDFR_MSG1			_("New Defensive Structure Available")
RES_EMP_IDFR_MSG2			_("Indirect fire rocket battery")
RES_EMP_IDFR_MSG3			_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_IDFR_MSG4			_("Defensive Strength: Medium")

RES_EMP_HvyMor_MSG1		_("New Defensive Structure Available")
RES_EMP_HvyMor_MSG2		_("Armored Bombard battery pit")
RES_EMP_HvyMor_MSG3		_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_HvyMor_MSG4		_("Defensive Strength: Medium")

RES_EMP_RotMor_MSG1		_("New Defensive Structure Available")
RES_EMP_RotMor_MSG2		_("Armored Pepperpot mortar battery pit")
RES_EMP_RotMor_MSG3		_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_RotMor_MSG4		_("Defensive Strength: Medium")

RES_EMP_HOW_MSG1			_("New Defensive Structure Available")
RES_EMP_HOW_MSG2			_("Armored howitzer emplacement")
RES_EMP_HOW_MSG3			_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_HOW_MSG4			_("Defensive Strength: Medium")

RES_EMP_HvHOW_MSG1		_("New Defensive Structure Available")
RES_EMP_HvHOW_MSG2		_("Armored Ground Shaker howitzer emplacement")
RES_EMP_HvHOW_MSG3		_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_HvHOW_MSG4		_("Defensive Strength: Medium")

RES_EMP_RotHOW_MSG1		_("New Defensive Structure Available")
RES_EMP_RotHOW_MSG2		_("Armored Hellstorm howitzer emplacement")
RES_EMP_RotHOW_MSG3		_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_RotHOW_MSG4		_("Defensive Strength: Medium")

RES_EMP_IncHOW_MSG1		_("New Defensive Structure Available")
RES_EMP_IncHow_MSG2		_("Armored Hellstorm howitzer emplacement")
RES_EMP_IncHow_MSG3		_("Assigned automatically to nearest sensor or CB tower")
RES_EMP_IncHow_MSG4		_("Defensive Strength: Medium")

RES_EMP_HVATR_MSG1		_("New Defensive Structure Available")
RES_EMP_HVATR_MSG2		_("Armored strongpoint with Tank Killer rocket")
RES_EMP_HVATR_MSG3		_("Automatically targets enemies in range")
RES_EMP_HVATR_MSG4		_("Defensive Strength: Medium")

RES_EMP_HPV_MSG1			_("New Defensive Structure Available")
RES_EMP_HPV_MSG2			_("Armored strongpoint with Hyper-Velocity Cannon")
RES_EMP_HPV_MSG3			_("Automatically targets enemies in range")
RES_EMP_HPV_MSG4			_("Defensive Strength: High")
	
RES_EMP_HVFL_MSG1			_("New Defensive Structure Available")
RES_EMP_HVFL_MSG2			_("Armored strongpoint with Inferno Flamer")
RES_EMP_HVFL_MSG3			_("Automatically targets enemies in range")
RES_EMP_HVFL_MSG4			_("Defensive Strength: Medium")

RES_EMP_RotCan_MSG1		_("New Defensive Structure Available")
RES_EMP_RotCan_MSG2		_("Armored strongpoint with Assault Cannon")
RES_EMP_RotCan_MSG3		_("Automatically targets enemies in range")
RES_EMP_RotCan_MSG4		_("Defensive Strength: High")

RES_DEF_RotMG_MSG1			_("New Defensive Structure Available")
RES_DEF_RotMG_MSG2			_("Reinforced tower with Assault Gun")
RES_DEF_RotMG_MSG3			_("Automatically targets enemies in range")
RES_DEF_RotMG_MSG4			_("Defensive Strength: Medium")

RES_EMP_HMGTOW_MSG1		_("New Defensive Structure Available")
RES_EMP_HMGTOW_MSG2		_("Armored guard tower with Heavy Machinegun")
RES_EMP_HMGTOW_MSG3		_("Automatically targets enemies within sensor range")
RES_EMP_HMGTOW_MSG4		_("Defensive Strength: Medium")

RES_EMP_FLTOW_MSG1		_("New Defensive Structure Available")
RES_EMP_FLTOW_MSG2		_("Armored guard tower with Flamer")
RES_EMP_FLTOW_MSG3		_("Automatically targets enemies within sensor range")
RES_EMP_FLTOW_MSG4		_("Defensive Strength: Medium")

RES_EMP_ATRTOW_MSG1		_("New Defensive Structure Available")
RES_EMP_ATRTOW_MSG2		_("Armored guard tower with Lancer AT Rocket")
RES_EMP_ATRTOW_MSG3		_("Automatically targets enemies within sensor range")
RES_EMP_ATRTOW_MSG4		_("Defensive Strength: Medium")

RES_PB_HMG_MSG1			_("New Defensive Structure Available")
RES_PB_HMG_MSG2			_("Armored bunker with Heavy Machinegun")
RES_PB_HMG_MSG3			_("Automatically targets enemies within sensor range")
RES_PB_HMG_MSG4			_("Defensive Strength: High")

RES_WT5_FL_MSG1			_("New Defensive Structure Available")
RES_WT5_FL_MSG2			_("Armored hardpoint with Flamer")
RES_WT5_FL_MSG3			_("Automatically targets enemies within sensor range")
RES_WT5_FL_MSG4			_("Defensive Strength: High")

RES_WT7_RMG_MSG1			_("New Defensive Structure Available")
RES_WT7_RMG_MSG2			_("Armored hardpoint with Assault Gun")
RES_WT7_RMG_MSG3			_("Automatically targets enemies within sensor range")
RES_WT7_RMG_MSG4			_("Defensive Strength: High")

RES_WT8_RC_MSG1			_("New Defensive Structure Available")
RES_WT8_RC_MSG2			_("Armored hardpoint with Assault Cannon")
RES_WT8_RC_MSG3			_("Automatically targets enemies within sensor range")
RES_WT8_RC_MSG4			_("Defensive Strength: High")

RES_WT11_HFL_MSG1			_("New Defensive Structure Available")
RES_WT11_HFL_MSG2			_("Armored hardpoint with Inferno flamer")
RES_WT11_HFL_MSG3			_("Automatically targets enemies within sensor range")
RES_WT11_HFL_MSG4			_("Defensive Strength: High")

RES_WT12_HAT_MSG1			_("New Defensive Structure Available")
RES_WT12_HAT_MSG2			_("Armored hardpoint with Tank Killer AT missile")
RES_WT12_HAT_MSG3			_("Automatically targets enemies within sensor range")
RES_WT12_HAT_MSG4			_("Defensive Strength: High")

RES_TTRAP2_MSG1			_("New Defensive Structure Available")
RES_TTRAP2_MSG2			_("Reinforced concrete tank traps")
RES_TTRAP2_MSG3			_("Prevents enemy movement")
RES_TTRAP2_MSG4			_("Defensive Strength: High")

RES_ST_RFU4_MSG1			_("Repair Facility Improved")
RES_ST_RFU4_MSG2			_("New robotic repair techniques")
RES_ST_RFU4_MSG3			_("Increases Repair Speed")
RES_ST_RFU4_MSG4			_("All repair facilities upgraded automatically")

RES_ST_FCY4_MSG1			_("Cyborg Production Improved")
RES_ST_FCY4_MSG2			_("Robotic Cyborg Production")
RES_ST_FCY4_MSG3			_("Increases Cyborg factory output")
RES_ST_FCY4_MSG4			_("All Cyborg factories upgraded automatically")

RES_ST_FCY10_MSG1			_("Cyborg Production Improved")
RES_ST_FCY10_MSG2			_("Self-Replicating Cyborg Production")
RES_ST_FCY10_MSG3			_("Increases Cyborg factory output")
RES_ST_FCY10_MSG4			_("All Cyborg factories upgraded automatically")

RES_ST_FU4_MSG1			_("Vehicle Production Improved")		
RES_ST_FU4_MSG2			_("New Robotic Techniques improve factory production")
RES_ST_FU4_MSG3			_("Increases factory production rate")
RES_ST_FU4_MSG4			_("All vehicle factories upgraded automatically")

RES_ST_FU10_MSG1			_("Vehicle Production Improved")		
RES_ST_FU10_MSG2			_("Self-Replicating Factory Production")
RES_ST_FU10_MSG3			_("Increases factory output")
RES_ST_FU10_MSG4			_("All vehicle factories upgraded automatically")

RES_ST_RU4_MSG1			_("Research Improved")
RES_ST_RU4_MSG2			_("Dedicated Synaptic Link Data Analysis")
RES_ST_RU4_MSG3			_("Increases research speed")
RES_ST_RU4_MSG4			_("All research facilities upgraded automatically")

RES_ST_MAT4_MSG1			_("Increases Damage Resistance")	
RES_ST_MAT4_MSG2			_("Hardened Base Structure Materials")
RES_ST_MAT4_MSG3			_("Increases Armor and Body Points")
RES_ST_MAT4_MSG4			_("All base structures upgraded automatically")

RES_ST_VFU1_MSG1			_("Production Improved")
RES_ST_VFU1_MSG2			_("Robotic VTOL Production")
RES_ST_VFU1_MSG3			_("Increases VTOL factory output")
RES_ST_VFU1_MSG4			_("All VTOL factories upgraded automatically")

RES_ST_VP1_MSG1			_("VTOL Rearming Times Reduced")		
RES_ST_VP1_MSG2			_("Automated VTOL Rearming")
RES_ST_VP1_MSG3			_("Reduces rearming time")
RES_ST_VP1_MSG4			_("All rearming pads upgraded automatically")

RES_REPTU2_MSG1			_("New Systems Turret Available")
RES_REPTU2_MSG2			_("Heavy repair unit")
RES_REPTU2_MSG3			_("Automatically Repairs Damaged Units")
RES_REPTU2_MSG4			_("Or damaged units may be selected as target")

RES_REPTUP1_MSG1			_("Research Breakthrough Improves Repair Speeds")
RES_REPTUP1_MSG2			_("Mobile Repair Upgrade")
RES_REPTUP1_MSG3			_("Increases repair speed")
RES_REPTUP1_MSG4			_("All mobile repair units upgraded automatically")
	
RES_SY_STW2_MSG1			_("Improved Sensor Tower Available")
RES_SY_STW2_MSG2			_("New construction techniques improve tower")
RES_SY_STW2_MSG3			_("Replaces existing sensor tower")
RES_SY_STW2_MSG4			_("May be assigned as spotter for indirect fire weapons")

RES_SY_VCBSTU1_MSG1		_("New Systems Turret Available")
RES_SY_VCBSTU1_MSG2		_("VTOL CB turret detects enemy indirect fire batteries")
RES_SY_VCBSTU1_MSG3		_("Orders assigned VTOLs to attack the enemy batteries")
RES_SY_VCBSTU1_MSG4		_("VTOLs attack until enemy battery is suppressed")

RES_SY_VCBSU1_MSG1		_("VTOL CB Improved")
RES_SY_VCBSU1_MSG2		_("New fire detection systems")
RES_SY_VCBSU1_MSG3		_("Extends VTOL CB Range")
RES_SY_VCBSU1_MSG4		_("All VTOL CB sensors upgraded automatically")

RES_SY_VS1_MSG1			_("VTOL Strike Improved")
RES_SY_VS1_MSG2			_("New target recognition systems")
RES_SY_VS1_MSG3			_("Extends VTOL Strike Range")
RES_SY_VS1_MSG4			_("All VTOL Strike sensors upgraded automatically")

RES_SY_STU1_MSG1			_("Scrambler Improved")
RES_SY_STU1_MSG2			_("Improvement in synaptic link technology")
RES_SY_STU1_MSG3			_("Increases scrambler rate")
RES_SY_STU1_MSG4			_("All scramblers upgraded automatically")

RES_V_B02_MSG1			_("Collective Light Body")
RES_V_B02_MSG2			_("Superior armor and body points to Viper")
RES_V_B02_MSG3			_("Slower than Viper")
RES_V_B02_MSG4			_("High power costs and slower to produce than Viper")

RES_V_B06_MSG1			_("Collective Medium Body")
RES_V_B06_MSG2			_("Superior armor and body points to Cobra")
RES_V_B06_MSG3			_("Slower than Cobra")
RES_V_B06_MSG4			_("High power costs and slower to produce than Cobra")

RES_V_EN4_MSG1			_("Vehicle Engine Upgrade")
RES_V_EN4_MSG2			_("Turbo-Charged Engine")
RES_V_EN4_MSG3			_("Improves vehicle speed")
RES_V_EN4_MSG4			_("All vehicles upgraded automatically")

RES_V_MET4_MSG1			_("Vehicle Bodies Improved")
RES_V_MET4_MSG2			_("Layered dense composite alloys and energy-absorbing fibres")
RES_V_MET4_MSG3			_("Increases kinetic armor and body points")
RES_V_MET4_MSG4			_("All vehicles upgraded automatically")

RES_V_AH1_MSG1			_("Vehicle Thermal Armor Improved")
RES_V_AH1_MSG2			_("Heat-resistant armored layers")
RES_V_AH1_MSG3			_("Increases Thermal Armor")
RES_V_AH1_MSG4			_("All vehicles upgraded automatically")

RES_HALFT2_MSG1			_("Vehicle Propulsion Improved")
RES_HALFT2_MSG2			_("New armored construction")
RES_HALFT2_MSG3			_("Increases Body Points")
RES_HALFT2_MSG4			_("All half-tracks upgraded automatically")

RES_V_P_H2_MSG1			_("Vehicle Propulsion Improved")
RES_V_P_H2_MSG2			_("New armored construction")
RES_V_P_H2_MSG3			_("Increases Body Points")
RES_V_P_H2_MSG4			_("All hovers upgraded automatically")

RES_TRACK2_MSG1			_("Vehicle Propulsion Improved")
RES_TRACK2_MSG2			_("New armored construction")
RES_TRACK2_MSG3			_("Increases Body Points")
RES_TRACK2_MSG4			_("All tracks upgraded automatically")

RES_V_P_W2_MSG1			_("Vehicle Propulsion Improved")
RES_V_P_W2_MSG2			_("New armored construction")
RES_V_P_W2_MSG3			_("Increases Body Points")
RES_V_P_W2_MSG4			_("All wheels upgraded automatically")

RES_AA1_MSG1			_("New AA Turret Available")
RES_AA1_MSG2			_("Twin 80mm flak weapon")
RES_AA1_MSG3			_("Aerial targets only")
RES_AA1_MSG4			_("Body Points: Medium")

RES_AA2_MSG1			_("New AA Turret Available")
RES_AA2_MSG2			_("Quad 80mm flak weapon")
RES_AA2_MSG3			_("Aerial targets only")
RES_AA2_MSG4			_("Body Points: Medium")

RES_AA3_MSG1			_("New AA Turret Available")
RES_AA3_MSG2			_("30mm Anti-Aircraft machinegun")
RES_AA3_MSG3			_("Aerial targets only")
RES_AA3_MSG4			_("Body Points: Medium")

RES_AA4_MSG1			_("New AA Turret Available")
RES_AA4_MSG2			_("Quad 30mm Anti-Aircraft machinegun")
RES_AA4_MSG3			_("Aerial targets only")
RES_AA4_MSG4			_("Body Points: Medium")

RES_AAAC1_MSG1			_("AA Upgrade")
RES_AAAC1_MSG2			_("Detects and locks-on to VTOL engine emissions")
RES_AAAC1_MSG3			_("Increases AA accuracy")
RES_AAAC1_MSG4			_("All AA weapons upgraded automatically")

RES_AAD1_MSG1			_("AA Flak Upgrade")
RES_AAD1_MSG2			_("High Explosive Flak shards")
RES_AAD1_MSG3			_("Increases AA Flak damage")
RES_AAD1_MSG4			_("All AA flak weapons upgraded automatically")

RES_AAROF1_MSG1			_("AA Upgrade")
RES_AAROF1_MSG2			_("Recoil loaded AA ammunition hopper")
RES_AAROF1_MSG3			_("Increases AA ROF")
RES_AAROF1_MSG4			_("All AA weapons upgraded automatically")

RES_PBMB1_MSG1			_("New Proximity Bomb Turret Available")
RES_PBMB1_MSG2			_("Bomb turret explodes in proximity to enemy")
RES_PBMB1_MSG3			_("Best Targets: Base Structures and Defenses")
RES_PBMB1_MSG4			_("Body Points: Medium")

RES_PBMB2_MSG1			_("New Proximity Bomb Turret Available")
RES_PBMB2_MSG2			_("Superbomb turret explodes in proximity to enemy")
RES_PBMB2_MSG3			_("Best Targets: Base Structures and Defenses")
RES_PBMB2_MSG4			_("Body Points: Medium")

RES_BMB1_MSG1			_("New Bomb Bay Available")
RES_BMB1_MSG2			_("Drops High Explosive Cluster bombs")
RES_BMB1_MSG3			_("Best Targets: Base Structures")
RES_BMB1_MSG4			_("Body Points: Low")

RES_BMB2_MSG1			_("New Bomb Bay Available")
RES_BMB2_MSG2			_("Drops High Explosive Armor Piercing bombs")
RES_BMB2_MSG3			_("Best Targets: Defenses")
RES_BMB2_MSG4			_("Body Points: Low")

RES_BAC1_MSG1			_("Bombsight Upgrade")
RES_BAC1_MSG2			_("Locks on to thermal emissions")
RES_BAC1_MSG3			_("Increases Bombing accuracy")
RES_BAC1_MSG4			_("All bomb bays upgraded automatically")

RES_W_CN4_MSG1			_("New Weapon Turret Available")
RES_W_CN4_MSG2			_("Hyper-velocity automatic-cannon firing 88mm rounds")
RES_W_CN4_MSG3			_("Best Targets: Vehicles")
RES_W_CN4_MSG4			_("Replaces Medium Cannon")

RES_W_CN5_MSG1			_("New Weapon Turret Available")
RES_W_CN5_MSG2			_("76mm hyper-velocity quad-barrel automatic-cannon")
RES_W_CN5_MSG3			_("Best Targets: Vehicles")
RES_W_CN5_MSG4			_("Body Points: High")

RES_FLAME2_MSG1			_("New Weapon Turret Available")
RES_FLAME2_MSG2			_("Heavy Flame-thrower firing Propylene Oxide gel")
RES_FLAME2_MSG3			_("Best Targets: Bunkers, wheeled and hover vehicles")
RES_FLAME2_MSG4			_("Body Points: Low")

RES_W_FL_D4_MSG1			_("Flamer Upgrade")
RES_W_FL_D4_MSG2			_("Propylene Oxide treated to burn at superhot temperatures")
RES_W_FL_D4_MSG3			_("Increases Flamer damage")
RES_W_FL_D4_MSG4			_("All flamers upgraded automatically")

RES_W_HMK1_MSG1			_("New Indirect Fire Weapon Available")
RES_W_HMK1_MSG2			_("105mm Howitzer may be assigned to a sensor")
RES_W_HMK1_MSG3			_("Best Targets: Base Structures, infantry, wheeled vehicles")
RES_W_HMK1_MSG4			_("Body Points: Low")

RES_W_HH1_MSG1			_("New Indirect Fire Weapon Available")
RES_W_HH1_MSG2			_("155mm Howitzer may be assigned to a sensor")
RES_W_HH1_MSG3			_("Best Targets: Base Structures, infantry, wheeled vehicles")
RES_W_HH1_MSG4			_("Body Points: Low")

RES_W_IHOW_MSG1			_("New Indirect Fire Weapon Available")
RES_W_IHOW_MSG2			_("105m Howitzer firing incendiaries, may be assigned to a sensor")
RES_W_IHOW_MSG3			_("Best Targets: Base Structures, bunkers")
RES_W_IHOW_MSG4			_("Body Points: Low")

RES_HOWAC1_MSG1			_("Howitzer Upgrade")
RES_HOWAC1_MSG2			_("Self-guided rocket powered shells")
RES_HOWAC1_MSG3			_("Increases Howitzer accuracy")
RES_HOWAC1_MSG4			_("All howitzers upgraded automatically")

RES_HOWD1_MSG1			_("Howitzer Upgrade")
RES_HOWD1_MSG2			_("High Explosive shells")
RES_HOWD1_MSG3			_("Increases Howitzer damage")
RES_HOWD1_MSG4			_("All howitzers upgraded automatically")

RES_HOWRF1_MSG1			_("Howitzer Upgrade")
RES_HOWRF1_MSG2			_("Automatic loading mechanism replaces manual loader")
RES_HOWRF1_MSG3			_("Increases Howitzer ROF")
RES_HOWRF1_MSG4			_("All howitzers upgraded automatically")

RES_W_MG_D5_MSG1			_("Machinegun Upgrade")
RES_W_MG_D5_MSG2			_("Tungsten-tipped armor-piercing bullets")
RES_W_MG_D5_MSG3			_("Increases Machinegun damage")
RES_W_MG_D5_MSG4			_("All machineguns upgraded automatically")

RES_W_MG_ROF2_MSG1		_("Machinegun Upgrade")
RES_W_MG_ROF2_MSG2		_("Improved chaingun mechanism")
RES_W_MG_ROF2_MSG3		_("Increases Machinegun ROF")
RES_W_MG_ROF2_MSG4		_("All machineguns upgraded automatically")

RES_W_M3_MSG1			_("New Indirect Fire Weapon Available")
RES_W_M3_MSG2			_("May be assigned to a sensor")
RES_W_M3_MSG3			_("Best Targets: Base structures, infantry, wheeled vehicles")
RES_W_M3_MSG4			_("Body Points: Very Low")

RES_W_M_D4_MSG1			_("Mortar Upgrade")
RES_W_M_D4_MSG2			_("High Explosive Armor-Piercing Shells")
RES_W_M_D4_MSG3			_("Increases Mortar damage")
RES_W_M_D4_MSG4			_("All mortars upgraded automatically")

RES_W_RK_D4_MSG1			_("Mini-Rocket Upgrade")
RES_W_RK_D4_MSG2			_("High Explosive Armor-Piercing warheads")
RES_W_RK_D4_MSG3			_("Increases Mini-Rocket damage")
RES_W_RK_D4_MSG4			_("All mini-rockets upgraded automatically")

RES_W_RK_ROF4_MSG1		_("Mini-Rocket Upgrade")
RES_W_RK_ROF4_MSG2		_("Robotic reload system")
RES_W_RK_ROF4_MSG3		_("Increases Mini-Rocket ROF")
RES_W_RK_ROF4_MSG4		_("All mini-rockets upgraded automatically")

RES_W_SRK_D4_MSG1			_("Rocket Upgrade")
RES_W_SRK_D4_MSG2			_("High Explosive Squash Head warhead")
RES_W_SRK_D4_MSG3			_("Increases Rocket damage")
RES_W_SRK_D4_MSG4			_("All rockets upgraded automatically")
