Research ID,unused,Subgroup icon,Major tech,Main icon,IMD,IMD2,MsgName,StructName,CompName,CompType,ResearchPoints,keyTopic,unused,unused,unused,unused,unused,unused,unused
R-Wpn-Cannon-ROF01,Level Two,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_CN_ROF1,0,Cannon1Mk1,WEAPON,4000,0,1,1,0,0,0,0,0
R-Wpn-Mortar-Damage01,Level One,IMAGE_RES_GRPDAM,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_M_D1,0,Mortar1Mk1,WEAPON,1800,0,1,1,0,0,0,0,0
R-Wpn-Mortar-Damage02,Level One,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Mortar1Mk1,WEAPON,3600,0,1,1,0,0,0,0,0
R-Wpn-Mortar-Damage03,Level One-Two,IMAGE_RES_GRPDAM,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Mortar1Mk1,WEAPON,7200,0,1,1,0,0,0,0,0
R-Wpn-Mortar-ROF01,Level One-Two,IMAGE_RES_GRPROF,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_M_ROF1,0,Mortar1Mk1,WEAPON,1800,0,1,1,0,0,0,0,0
R-Wpn-Mortar-ROF02,Level Two,IMAGE_RES_GRPROF,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Mortar1Mk1,WEAPON,6000,0,2,1,0,0,0,0,0
R-Wpn-Mortar-ROF03,Level Two-Three,IMAGE_RES_GRPROF,1,IMAGE_RES_WEAPONTECH,0,0,0,0,Mortar2Mk1,WEAPON,8000,0,1,1,0,0,0,0,0
R-Comp-CommandTurret01,Level One,0,0,IMAGE_RES_COMPUTERTECH,0,0,RES_C_CT1,0,CommandBrain01,BRAIN,1200,0,1,0,0,0,0,0,1
R-Defense-TankTrap01,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_TTRAP1,A0TankTrap,0,0,600,0,1,0,0,0,1,0,0
R-Defense-Tower01,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_TOWER1,GuardTower1,0,0,600,1,1,0,1,0,1,0,0
R-Defense-Tower06,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_PODTOW,GuardTower6,0,0,2400,0,2,0,1,0,1,0,0
R-Defense-Pillbox01,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_DF_P1,PillBox1,0,0,1200,0,2,0,1,0,1,0,0
R-Defense-Pillbox04,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_PB_LC,PillBox4,0,0,1500,0,2,0,1,0,1,0,0
R-Defense-Pillbox05,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_PB_FL,PillBox5,0,0,1500,0,2,0,1,0,1,0,0
R-Sys-MobileRepairTurret01,Level All,0,0,IMAGE_RES_SYSTEMTECH,0,0,RES_REPTU1,0,LightRepair1,REPAIR,600,0,1,0,0,0,0,0,2
R-Defense-WallUpgrade02,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,0,0,0,0,2400,0,1,1,0,0,0,0,0
R-Defense-WallUpgrade03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_DEFENCE,BLWALLH.PIE,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Struc-Materials01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_STRUCTURETECH,icmolql.pie,0,RES_ST_MAT1,0,0,0,1200,0,1,1,0,0,0,0,0
R-Struc-Materials02,Level One,IMAGE_RES_GRPUPG,1,IMAGE_RES_STRUCTURETECH,icmolql.pie,0,0,0,0,0,2400,0,1,1,0,0,0,0,0
R-Struc-Materials03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_STRUCTURETECH,icmolql.pie,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Vehicle-Metals01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_DROIDTECH,icmolql.pie,0,RES_V_MET1,0,0,0,1800,1,2,1,0,0,0,0,0
R-Vehicle-Metals02,Level One,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,icmolql.pie,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Vehicle-Metals03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_DROIDTECH,icmolql.pie,0,0,0,0,0,5400,1,1,1,0,0,0,0,0
R-Struc-Research-Upgrade01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_COMPUTERTECH,blresch4.PIE,0,RES_ST_RU1,0,0,0,1200,1,1,1,0,0,0,0,0
R-Struc-Research-Upgrade02,Level One,IMAGE_RES_GRPUPG,1,IMAGE_RES_COMPUTERTECH,blresch4.PIE,0,0,0,0,0,2400,0,1,1,0,0,0,0,0
R-Struc-Research-Upgrade03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_COMPUTERTECH,blresch4.PIE,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Struc-Factory-Upgrade01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_STRUCTURETECH,BLFACT1.PIE,0,RES_ST_FU1,0,0,0,2400,1,1,3,0,0,0,0,0
R-Cyborg-Metals01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_CYBORGTECH,icmolql.pie,0,RES_CYMET1,0,0,0,1200,0,2,1,0,0,0,0,0
R-Cyborg-Metals02,Level One,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icmolql.pie,0,0,0,0,0,2400,0,1,1,0,0,0,0,0
R-Cyborg-Metals03,Level One-Two,IMAGE_RES_GRPUPG,1,IMAGE_RES_CYBORGTECH,icmolql.pie,0,0,0,0,0,3600,0,1,1,0,0,0,0,0
R-Wpn-Rocket03-HvAT,Level All,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RK_HVAT1,0,Rocket-BB,WEAPON,4800,0,2,0,0,0,0,0,2
R-Sys-Sensor-Upgrade01,Level All,IMAGE_RES_GRPUPG,0,IMAGE_RES_SYSTEMTECH,GNLSNSR1.PIE,0,RES_SY_SU1,0,0,0,1800,1,2,1,0,0,0,0,0
R-Vehicle-Prop-Halftracks,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_HALFT1,0,HalfTrack,PROPULSION,1200,1,1,0,0,0,0,0,1
R-Defense-WallTower06,Level One-Two,IMAGE_RES_GRPACC,0,IMAGE_RES_DEFENCE,0,0,RES_WT6_ATR,WallTower06,0,0,1500,0,2,0,1,0,1,0,0
R-Defense-Pillbox06,Level One,0,0,IMAGE_RES_DEFENCE,0,0,RES_PB_ATR,GuardTower5,0,0,1500,0,2,0,1,0,1,0,0
R-Wpn-Cannon-Accuracy01,Level One-Two,IMAGE_RES_GRPACC,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_CNAC1,0,Cannon1Mk1,WEAPON,3600,0,2,1,0,0,0,0,0
R-Sys-SpyTurret,Level All,0,0,IMAGE_RES_SYSTEMTECH,icmolql.pie,0,RES_SY_SPT,0,SpyTurret01,WEAPON,14400,1,3,0,0,0,0,0,1
R-Wpn-HvyHowitzer,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_HH1,0,Howitzer150Mk1,WEAPON,10000,1,2,0,0,0,0,0,1
R-Vehicle-Prop-Wheels,Level One,0,0,IMAGE_RES_DROIDTECH,0,0,RES_V_P_W1,0,wheeled01,PROPULSION,1200,0,1,0,0,0,0,0,1
R-Sys-Spade1Mk1,Level One,0,1,IMAGE_RES_SYSTEMTECH,0,0,0,0,Spade1Mk1,CONSTRUCT,10,1,1,0,0,0,0,0,1
R-Struc-RprFac-Upgrade01,Level One,IMAGE_RES_GRPUPG,0,IMAGE_RES_SYSTEMTECH,0,0,RES_ST_RFU1,A0RepairCentre3,0,0,2400,0,2,1,0,0,0,0,0
R-Vehicle-Prop-VTOL,Level All,0,0,IMAGE_RES_DROIDTECH,DPVTOL.PIE,0,RES_V_P_V1,0,0,BODY,6000,1,3,0,0,0,0,0,1
R-Struc-VTOLPad,Level Two,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_VP,A0VtolPad,0,0,3600,0,2,0,0,0,1,0,0
R-Struc-VTOLFactory,Level Two,0,0,IMAGE_RES_STRUCTURETECH,0,0,RES_ST_VF,A0VTolFactory1,0,0,6000,0,1,0,0,0,1,0,0
R-Wpn-Cannon5,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_CN5,0,Cannon5VulcanMk1,WEAPON,8000,1,2,0,0,0,0,0,2
R-Wpn-AAGun02,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_AA2,0,AAGun2Mk1,WEAPON,7200,1,1,0,0,0,0,0,1
R-Wpn-Flame2,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_FLAME2,0,Flame2,WEAPON,7200,1,2,0,0,0,0,2,2
R-Wpn-Howitzer03-Rot,Level Two-Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RHOW,0,Howitzer03-Rot,WEAPON,12000,1,2,0,0,0,0,1,1
R-Wpn-MG4,Level Two-Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_MG4,0,MG4ROTARYMk1,WEAPON,7200,1,2,0,0,0,0,7,3
R-Wpn-Mortar3,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_M3,0,Mortar3ROTARYMk1,WEAPON,10000,1,2,0,0,0,0,1,1
R-Wpn-AAGun03,Level One-Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_AA3,0,QuadMg1AAGun,WEAPON,3600,1,1,0,0,0,0,0,1
R-Wpn-AAGun04,Level Two,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_AA4,0,QuadRotAAGun,WEAPON,6000,0,2,0,0,0,0,1,1
R-Wpn-Laser01,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_LAS1,0,Laser3BEAMMk1,WEAPON,14400,1,2,0,0,0,0,0,3
R-Wpn-Laser02,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_LAS2,0,Laser2PULSEMk1,WEAPON,28800,1,1,0,0,0,0,2,2
R-Wpn-Missile2A-T,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,0,0,Missile-A-T,WEAPON,14400,0,3,0,0,0,0,2,3
R-Wpn-RailGun01,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RAIL1,0,RailGun1Mk1,WEAPON,14400,1,3,0,0,0,0,0,3
R-Wpn-RailGun02,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RAIL2,0,RailGun2Mk1,WEAPON,28800,1,2,0,0,0,0,2,2
R-Wpn-RailGun03,Level Three,0,0,IMAGE_RES_WEAPONTECH,0,0,RES_W_RAIL3,0,RailGun3Mk1,WEAPON,43200,1,2,0,0,0,0,0,1
R-Defense-AASite-QuadBof,Level Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_AA1,AASite-QuadBof,0,0,4800,0,1,0,1,0,1,0,0
R-Defense-AASite-QuadMg1,Level Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_AA2,AASite-QuadMg1,0,0,3600,1,1,0,1,0,1,0,0
R-Defense-AASite-QuadRotMg,Level Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_AA3,AASite-QuadRotMg,0,0,6000,0,2,0,1,1,1,0,0
R-Defense-PrisLas,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_PrisLas,Emplacement-PrisLas,0,0,14400,0,1,0,1,0,1,0,0
R-Defense-RotHow,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_RotHOW,Emplacement-RotHow,0,0,5000,0,1,0,1,1,1,0,0
R-Defense-RotMor,Level Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_RotMor,Emplacement-RotMor,0,0,4800,0,1,0,1,1,1,0,0
R-Defense-GuardTower-ATMiss,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_ATMTOW,GuardTower-ATMiss,0,0,7200,0,1,0,1,1,1,0,0
R-Defense-GuardTower-Rail1,Level Three,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_RL1TOW,GuardTower-Rail1,0,0,7200,0,1,0,1,1,1,0,0
R-Defense-Howitzer,Level Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_HOW,Emplacement-Howitzer105,0,BODY,4800,0,1,0,1,0,1,0,0
R-Defense-MortarPit,Level One-Two,0,0,IMAGE_RES_DEFENCE,0,0,RES_EMP_Mpit,Emplacement-MortarPit01,0,0,1200,0,2,0,1,0,1,0,0
