Research ID,Function ID,unused
R-Wpn-AAGun-Damage04,Wpn-AAGun-Damage04,819
R-Wpn-AAGun-Damage05,Wpn-AAGun-Damage05,820
R-Wpn-AAGun-Damage06,Wpn-AAGun-Damage06,821
R-Wpn-AAGun-ROF01,Wpn-AAGun-ROF01,823
R-Wpn-AAGun-ROF02,Wpn-AAGun-ROF02,824
R-Wpn-AAGun-ROF03,Wpn-AAGun-ROF03,825
R-Wpn-AAGun-ROF04,Wpn-AAGun-ROF04,826
R-Wpn-AAGun-ROF05,Wpn-AAGun-ROF05,827
R-Wpn-AAGun-ROF06,Wpn-AAGun-ROF06,828
R-Wpn-Bomb-Accuracy01,Wpn-Bomb-Accuracy01,1009
R-Wpn-Bomb-Accuracy02,Wpn-Bomb-Accuracy02,1010
R-Wpn-Bomb-Accuracy03,Wpn-Bomb-Accuracy03,1011
R-Wpn-Flamer-Damage04,Wpn-Flamer-Damage04,834
R-Wpn-Flamer-Damage05,Wpn-Flamer-Damage05,835
R-Wpn-Flamer-Damage06,Wpn-Flamer-Damage06,836
R-Wpn-Howitzer-Accuracy01,Wpn-Howitzer-Accuracy01,837
R-Wpn-Howitzer-Accuracy02,Wpn-Howitzer-Accuracy02,838
R-Wpn-Howitzer-Accuracy03,Wpn-Howitzer-Accuracy03,839
R-Wpn-Howitzer-Damage01,Wpn-Howitzer-Damage01,843
R-Wpn-Howitzer-Damage02,Wpn-Howitzer-Damage02,844
R-Wpn-Howitzer-Damage03,Wpn-Howitzer-Damage03,845
R-Wpn-Howitzer-Damage04,Wpn-Howitzer-Damage04,846
R-Wpn-Howitzer-Damage05,Wpn-Howitzer-Damage05,847
R-Wpn-Howitzer-Damage06,Wpn-Howitzer-Damage06,848
R-Wpn-Howitzer-ROF01,Wpn-Howitzer-ROF01,1022
R-Wpn-Howitzer-ROF02,Wpn-Howitzer-ROF02,1023
R-Wpn-Howitzer-ROF03,Wpn-Howitzer-ROF03,1024
R-Wpn-Howitzer-ROF04,Wpn-Howitzer-ROF04,1025
R-Wpn-Energy-Accuracy01,Wpn-Energy-Accuracy01,849
R-Wpn-Energy-Damage01,Wpn-Energy-Damage01,852
R-Wpn-Energy-Damage02,Wpn-Energy-Damage02,853
R-Wpn-Energy-Damage03,Wpn-Energy-Damage03,854
R-Wpn-Energy-ROF01,Wpn-Energy-ROF01,855
R-Wpn-Energy-ROF02,Wpn-Energy-ROF02,856
R-Wpn-Energy-ROF03,Wpn-Energy-ROF03,857
R-Wpn-Missile-Accuracy01,Wpn-Missile-Accuracy01,864
R-Wpn-Missile-Accuracy02,Wpn-Missile-Accuracy02,865
R-Wpn-Missile-Damage01,Wpn-Missile-Damage01,867
R-Wpn-Missile-Damage02,Wpn-Missile-Damage02,868
R-Wpn-Missile-Damage03,Wpn-Missile-Damage03,869
R-Wpn-Missile-ROF01,Wpn-Missile-ROF01,870
R-Wpn-Missile-ROF02,Wpn-Missile-ROF02,871
R-Wpn-Missile-ROF03,Wpn-Missile-ROF03,872
R-Wpn-Mortar-Acc01,Wpn-Mortar-Acc01,1012
R-Wpn-Mortar-Acc02,Wpn-Mortar-Acc02,1013
R-Wpn-Mortar-Acc03,Wpn-Mortar-Acc03,1014
R-Wpn-Mortar-Damage01,Wpn-Mortar-Damage01,400
R-Wpn-Mortar-Damage02,Wpn-Mortar-Damage02,401
R-Wpn-Mortar-Damage03,Wpn-Mortar-Damage03,402
R-Wpn-Mortar-Damage04,Wpn-Mortar-Damage04,882
R-Wpn-Mortar-Damage05,Wpn-Mortar-Damage05,886
R-Wpn-Mortar-Damage06,Wpn-Mortar-Damage06,887
R-Wpn-Mortar-ROF01,Wpn-Mortar-ROF01,403
R-Wpn-Mortar-ROF02,Wpn-Mortar-ROF02,404
R-Wpn-Mortar-ROF03,Wpn-Mortar-ROF03,405
R-Wpn-Mortar-ROF04,Wpn-Mortar-ROF04,956
R-Wpn-Rail-Accuracy01,Wpn-Rail-Accuracy01,891
R-Wpn-Rail-Damage01,Wpn-Rail-Damage01,894
R-Wpn-Rail-Damage02,Wpn-Rail-Damage02,895
R-Wpn-Rail-Damage03,Wpn-Rail-Damage03,896
R-Wpn-Rail-ROF01,Wpn-Rail-ROF01,897
R-Wpn-Rail-ROF02,Wpn-Rail-ROF02,898
R-Wpn-Rail-ROF03,Wpn-Rail-ROF03,899
R-Wpn-Rocket-Accuracy01,Wpn-Rocket-Accuracy01,900
R-Wpn-Rocket-Accuracy02,Wpn-Rocket-Accuracy02,901
R-Wpn-RocketSlow-Accuracy01,Wpn-Rocket-Accuracy03,925
R-Wpn-RocketSlow-Accuracy02,Wpn-Rocket-Accuracy04,926
R-Cyborg-Armor-Heat01,Cyborg-Armor-Heat01,988
R-Cyborg-Armor-Heat02,Cyborg-Armor-Heat02,989
R-Cyborg-Armor-Heat03,Cyborg-Armor-Heat03,990
R-Cyborg-Armor-Heat04,Cyborg-Armor-Heat04,991
R-Cyborg-Armor-Heat05,Cyborg-Armor-Heat05,992
R-Cyborg-Armor-Heat06,Cyborg-Armor-Heat06,993
R-Struc-Power-Upgrade03,Struc-Power Upgrade03,1036
R-Struc-Power-Upgrade01b,Struc-Power Upgrade01b,1038
R-Struc-Power-Upgrade01c,Struc-Power Upgrade01c,1039
R-Struc-Power-Upgrade03a,Struc-Power Upgrade03a,1040
R-Cyborg-Armor-Heat07,Cyborg-Armor-Heat07,1082
R-Cyborg-Armor-Heat08,Cyborg-Armor-Heat08,1083
R-Cyborg-Armor-Heat09,Cyborg-Armor-Heat09,1084
R-Vehicle-Armor-Heat07,Vehicle-Armor-Heat07,1085
R-Vehicle-Armor-Heat08,Vehicle-Armor-Heat08,1086
R-Vehicle-Armor-Heat09,Vehicle-Armor-Heat09,1087
R-Defense-WallUpgrade11,Defense-WallUpgrade11,1134
R-Defense-WallUpgrade12,Defense-WallUpgrade12,1135
R-Wpn-Flamer-Damage07,Wpn-Flamer-Damage07,1141
R-Wpn-Flamer-Damage08,Wpn-Flamer-Damage08,1142
R-Wpn-Flamer-Damage09,Wpn-Flamer-Damage09,1143
