/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				"New Design"
NX-L-PulseLas-VTOL			"*NX-L-PulseLas-VTOL*"
NX-L-Missile-A-T-VTOL			"*NX-L-ASMiss-VTOL*"
//NX-L-Rail1-Whl				"*NX-L-Rail1-Whl*"
NX-L-Sens-Hov				"*NX-L-Sens-Hov*"
NX-M-Missile-A-T-Hover			"*NX-M-ATMiss-Hov*"
NX-M-Com-Hover				"*NX-M-Com-Track*"
NX-M-Con-Hover				"*NX-M-Con-Hover*"
NX-L-Repair-Hover			"*NX-L-Repair-Hover*"
NX-M-Link-Hover				"*NX-M-Link-Hover*"
NX-M-Strike-Hover			"*NX-M-Strike-Hover*"
NX-H-CBS-Hover				"*NX-H-CBS-Hover*"
NX-M-VTOLCBS-Hover			"*NX-M-VTOLCBS-Hover*"
NX-M-PulseLas-Hover			"*NX-M-Laser2-Hover*"
NX-H-Rail3-Hover			"*NX-H-Rail3-Hover*"
NX-H-BeamLas-Hover			"*NX-H-BeamLas-Hover*"
NX-L-Missile-MdArt-Hover		"*NX-L-MdMiss-Hover*"
NX-H-HvMiss-Hover			"*NX-H-HvMiss-Hover*"
//NX-L-Missile-BB-VTOL			"*NX-L-BBMiss-VTOL*"
NX-L-Rail1-VTOL				"*NX-L-Rail1-VTOL*"
NX-H-Rail2-VTOL				"*NX-H-Rail2-VTOL*"
//NX-M-HvySAM-Htrack			"*NX-M-HvySAM-Htrack*"

// NEXUS only Cyborgs
NX-Cyb-HvMiss-JUMP			"*NX-Cyb-HvMiss-JUMP*"
NX-Cyb-PulseLas-JUMP	  		"*NX-Cyb-PulseLas-JUMP*"
NX-Cyb-Rail1-JUMP			"*NX-Cyb-JUMP*"
NX-Cyb-Miss-JUMP			"*NX-Cyb-Miss-JUMP*"
Cyb-NXCybRail1-GRD			"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybATmiss-GRD			"*Cyb-NXCybATmiss-GRD*"
Cyb-NXPulseLas-GRD			"*Cyb-NXPulseLas-GRD*"
Cyb-NXCybRail1-JUMP			"*Cyb-NXCybRail1-JUMP*"
Cyb-NXCybATmiss-JUMP			"*Cyb-NXCybATmiss-JUMP*"
Cyb-NXPulseLas-JUMP			"*Cyb-NXPulseLas-JUMP*"

/* PLAYER 4 - FORCE EDITOR VEHICLES */
ViperLtCannonWheels			"Viper Light Cannon Wheels"
ViperFlameWheels			"Viper Flamer Wheels"
ViperSensorWheels			"Viper Sensor Wheels"
ViperLtCannonTracks			"Viper Light Cannon Tracks"

CobraHMGHalfTrack			"Cobra Heavy Machinegun Half-track"
CobraMortarHalfTrack			"Cobra Mortar Half-track"
CobraLtCnTrks				"Cobra Light Cannon Tracks"

/* PLAYER 5 - MULTIPLAYER VEHICLES */
ConstructorDroid			"Truck"
CyborgRotMgGround			"Assault Gunner"

/* PLAYER 6 - TEST VEHICLES */

// new player cyborgs - for Pete

Cyb-CybChnGun-JUMP			"*Cyb-CybChnGun-JUMP*"
ATESTVEHICLE				"*TEST VEHICLE*"
ATESTVTOL				"*TEST VTOL*"
ASPOTTER				"*SPOTTER*"
AVTOLSPOTTER				"*VTOL SPOTTER*"
Superbody				"*Kev's Super Body*"
Superweapon				"*Kev's Super Weapon*"
Superweapon2				"*Alex's Super Weapon*"
SuperTank				"*Kev's Super Tank*"
SuperTank2				"*Alex's Killa*"

ViperMedCnTrks				"Viper Medium Cannon Tracks"
ViperRepairWheels			"Viper Repair Wheels"
ViperRepairHalftrack			"Viper Repair Half-track"
ViperMG01Wheels				"Viper Machine Gun Wheels"
ViperMG02Wheels				"Viper Twin Machinegun Wheels"
ViperMG02Halftrack			"Viper Twin Machinegun Half-track"
ViperHMGHalftrack			"Viper Heavy Machinegun Half-track"
ViperHMGTracks				"Viper Heavy Machinegun Tracks"
ViperLtA-Twheels			"Viper Lancer Wheels"
ViperPODWheels				"Viper Mini-Pod Rockets Wheels"
ViperMRLWheels				"Viper Mini-Rocket Artillery Wheels"
ViperBBWheels				"Viper Bunker Buster Rockets Wheels"
ViperLtCannonHTracks			"Viper Light Cannon Half Tracks"

CobraMedCnTrks				"Cobra Medium Cannon Tracks"
CobraHvyCnTrks				"Cobra Heavy Cannon Tracks"
CobraSpadeTracks			"Cobra Truck"
CobraSensorHalftrack			"Cobra Sensor Half-track"
CobraFlameTracks			"Cobra Flamer Tracks"
CobraHvyMortarHalftrack			"Cobra Bombard Half-track"
CobraComHalftrack			"Cobra Command Turret Half-track"
CobraLtA-Thalftrack			"Cobra Lancer Half-track"
CobraMRLHalftrack			"Cobra Mini-Rocket Artillery Half-track"

PythonLtCnTrks				"Python Light Cannon Tracks"
PythonMedCnTrks				"Python Medium Cannon Tracks"
PythonHvyCnTrks				"Python Heavy Cannon Tracks"
PythonComTracks				"Python Commander Tracks"

/* PLAYER 7 - SCAVENGER VEHICLES */
BaBaPeople				"Scavenger"
BabaJeep				"Jeep"
BarbarianTrike				"Trike"
BarbarianBuggy				"Buggy"
BarbarianRKBuggy			"Rocket Buggy"
BabaRKJeep				"Rocket Jeep"
BabaFireTruck				"Fire Truck"
BabaPickUp				"Pick-Up Truck"
BabaFireCan				"Fire Cannon"
BabaBusCan				"School Bus"
BaBaCivilian				"Civilian"

/* FINAL CYBORGS */
CyborgChain01Ground			"Machinegunner"
CyborgFlamer01Grd			"Flamer"
CyborgRkt01Ground			"Lancer"
CyborgCannon01Grd			"Heavy Gunner"

CyborgChain01CGround			"Machinegunner"
CyborgFlamer01CGrd			"Flamer"
CyborgRkt01CGround			"Lancer"
CyborgCannon01CGrd			"Heavy Gunner"

// Cyborgs - shared 
Cyb-Chain-GROUND			"Machinegunner"
Cyb-Flamer-GROUND			"Cyborg Flamer"
Cyb-Cannon-GROUND			"Heavy Gunner"
Cyb-Rocket-GROUND			"Lancer"
Cyb-RotMG-GROUND			"Assault Gunner"

/* TEST CYBORGS */	
CyborgCan01Air				"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground			"Cyborg Cannon"
CyborgRkt01Air				"*TEST - Cyborg Rocket01 Air*"

/*
 * COMPONENTS *
 */

/* BODIES */
Body1REC				"Viper"
Body2SUP				"Leopard"
Body3MBT				"Retaliation"
Body4ABT				"Bug"
Body5REC				"Cobra"
Body6SUPP				"Panther"
Body7ABT				"Retribution"
Body8MBT				"Scorpion"
Body9REC				"Tiger"
Body10MBT				"Vengeance"
Body11ABT				"Python"
Body12SUP				"Mantis"

TransporterBody				"Transport Body"
ZNULLBODY				"*Z NULL BODY*"

B1BaBaPerson01				"*BaBa Body*"
B2JeepBody				"*Jeep Body*"
B3body-sml-buggy01			"*Buggy Body*"
B4body-sml-trike01			"*Trike Body"
B3bodyRKbuggy01				"*Rocket Buggy Body*"
B2RKJeepBody				"*Rocket Jeep Body*"
BusBody					"*School Bus Body*"
FireBody				"*Fire Engine Body*"

/* Test Cyborg Body Parts */
//CyborgCan1Air				"*CyborgCannon1Air*"
//CyborgCan1Ground			"*CyborgCannon1Ground*"
CyborgChain1Ground			"*CyborgChaingun1Ground*"
//CyborgFlame1Ground			"*CyborgFlamer1Ground*"
//CyborgRkt1Air				"*CyborgRocket1Air*"
CyborgRkt1Ground			"CyborgRocket1Ground*"
NX-Cyb-Rail1				"*NX-Cyb-Rail1*"
CyborgRotMG				"*CyborgRotMG*"
//NX-CybMissGrnd				"*NX-CybMissGrnd*"
NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-CybChain1Grnd			"*NX-CybChain1Grnd*"

// New Cyborg Bodies - Unique body for EACH template
CyborgCannonGrd				"*Cyborg Cannon*"
//				"*Cyborg Machine Gun*"
CyborgFlamerGrd				"*Cyborg Flamer*"
CyborgCan1CGround			"*Cyborg Cannon*"
CyborgChn1CCGround			"*Cyborg Machine Gun*"
//CyborgChn01Ground			"*Cyborg Machine Gun*"
CybFlamer01CGrd				"*Cyborg Flamer*"
//CybRocketGrd				"*Cyborg Rocket*"	
CybRotMgGrd				"*Cyborg Assault Gun*"

//CyborgNXATMissGrd			"*CyborgNXATMissGrd*"
//CyborgNXATMissJmp			"*CyborgNXATMissJ*"
//			"*CybNXCybRail1Grd*"	
//CybNXCybRail1Jmp			"*CybNXCybRail1J*"
CybNXPulseLasJmp			"*CybNXPulseLasJ*"
//CybNXHvMissJmp				"*CybNXHvMissJ*"		
CybNXMissJmp				"*CybNXMissJmp*"
//CybNXPulseLasJmp			"*CybNXPulseLasJ*"
CybNXRail1Jmp				"*CybNXRail1Jmp*"
//CybNXPulseLaserGrd			"*CybNXPulseLaserJ*"
//NX-Cyb-HvMissile-JUMP			"*NX-Cyb-HvMissile-J*"
//NX-Cyb-Missile-JUMP			"*NX-CybMissGrnd*"
//NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-Cyb-Rail1-JUMP			"*NX-Cyb-J*"

/* BRAIN */
ZNULLBRAIN				"Z NULL BRAIN"
StandardBrain				"*TEST - Standard Brain*"
ConstructionBrain			"*TEST - ConstructionBrain*"
CommandBrain01				"Command Turret"

/* PROGRAM */
ZNULLPROGRAM				"Z NULL PROGRAM"
program1				"*TEST - program #1"
Construct				"*TEST - Construct"
RadarProgram				"*TEST - Radar Program"
Demolish				"Demolish"

/* CONSTRUCTION */	
ZNULLCONSTRUCT				"Z NULL CONSTRUCT"
Spade1Mk1				"Truck"

/* PROPULSION */
ZNULLPROP				"Z NULL PROP"
wheeled01				"Wheels"
wheeled02				"Wheels II" 
wheeled03				"Wheels III"
tracked01				"Tracks"
tracked02				"Tracks II"
tracked03				"Tracks III"
hover01					"Hover"
hover02					"Hover II"
hover03					"Hover III"
V-Tol					"VTOL"
V-Tol02					"VTOL II"
V-Tol03					"VTOL III"
HalfTrack				"Half-tracks"
HalfTrack02				"Half-tracks II"
HalfTrack03				"Half-tracks III"
CyborgLegs02				"Cyborg Propulsion II"
CyborgLegs03				"Cyborg Propulsion III"
//CyborgJets02				"Cyborg Jump Pack II"
//CyborgJets03				"Cyborg Jump Pack III"

/*BABARIAN PROPULSIONS*/
BaBaProp				"BaBaProp"
BaBaLegs				"BaBaLegs"

/*CYBORG PROPULSIONS*/
CyborgLegs				"Cyborg Propulsion"
//CyborgJets				"Cyborg Jump Pack"

/* VEHICLE AUTO-REPAIR */
ZNULLREPAIR				"Z NULL REPAIR"
LightRepair1				"Mobile Repair Turret"

/* ECM */
ZNULLECM				"Z NULL ECM"
//ECM1PylonMk1				"Jammer Tower"
//ECM1TurretMk1				"Jammer Turret"
//ECM1DefaultMk1				"*TEST - ECM1 Default Mk1*"
ECM1Default				"*TEST - Baba ECM Default*"
//ECM2PylonMk1				"Jammer Tower II"
//ECM2TurretMk1				"Jammer Turret III"
//ECM2DefaultMk1				"*Improved ECM Default Mk1*"
//ECM3PylonMk1				"Jammer Tower III"
//ECM3TurretMk1				"Jammer Turret III"
//ECM3DefaultMk1				"*ECM3DefaultMk1*"

/* SENSORS */
ZNULLSENSOR				"Z NULL SENSOR"
BaBaSensor				"*BaBa Default Sensor*"
CCSensor				"*CC Sensor*"
DefaultSensor1Mk1			"*Default Sensor1 Mk1*"
NavGunSensor				"*NavGunSensor*"
SensorTower1Mk1				"Sensor Tower"
SensorTower2Mk1				"Hardened Sensor Tower"
SensorTurret1Mk1			"Sensor Turret"
Sys-CBTower01				"*CB Tower"
Sys-VTOLCBTower01			"VTOL CB Radar Tower"
Sys-VTOLRadarTower01			"VTOL CB Radar Tower"
UplinkSensor				"Uplink Sensor"

Sys-CBTurret01				"CB Radar Turret"
Sys-VstrikeTurret01			"VTOL Strike Turret"
Sys-VTOLCBTurret01			"VTOL CB Radar Turret"
Sys-NXLinkTurret01			"NEXUS Link"

SpyTurret01				"Nexus Link Turret"

/* PLAYER STRUCTURES */
A0ResourceExtractor			"Oil Derrick"
A0CommandCentre				"Command Center"
A0LightFactory				"Factory"
A0FacMod1				"Factory Module"
A0PowerGenerator			"Power Generator"
A0PowMod1				"Power Module"
A0ResearchFacility			"Research Facility"
A0ResearchModule1			"Research Module"
A0ADemolishStructure			"Demolish Structure"
DemolishStructure			"Demolish"
A0RepairCentre				"Repair Center"
A0ComDroidControl			"Command Relay Center"
A0HardcreteMk1CWall			"Hardcrete Corner Wall"
A0HardcreteMk1Wall			"Hardcrete Wall"

A0VTolFactory1				"VTOL Factory"
A0CyborgFactory				"Cyborg Factory"

/* DEFENSIVE STRUCTURES */
Tower-Projector				"Inferno Emplacement" //previously "Inferno Guard Tower"
WallTower-Projector			"Inferno Hardpoint"
Emplacement-RotMor			"Pepperpot Pit"
Emplacement-RotHow			"Hellstorm Emplacement"
//SuperEmplacement			"*Super Gun*"
//PlasmaEmplacement			"*Plasma Weapon*"

AASite-TwinBof				"Tornado AA Site"
AASite-QuadBof				"Cyclone AA Site"
AASite-QuadMg1				"Hurricane AA Site"
AASite-QuadRotMg			"Whirlwind AA Site"

Emplacement-Rocket06-IDF		"Ripple Rocket Battery" 
//Tower-Missile1				"Lancer Guard Tower"
//Tower-Missile2				"Mini-Pod Rocket Guard Tower"
Tower-VulcanCan				"Assault Cannon Guard Tower"
Tower-RotMg				"Assault Gun Guard Tower"
Wall-RotMg				"Assault Gun Hardpoint"
Wall-VulcanCan				"Assault Cannon Hardpoint"

/*SENSOR TOWERS*/
Sys-SensoTower01			"Sensor Tower"
Sys-SensoTower02			"Hardened Sensor Tower"
//Sys-ECMTower01				"Jammer Tower"
Sys-CB-Tower01				"CB Tower"
Sys-VTOL-CB-Tower01			"VTOL CB Tower"
Sys-VTOL-RadarTower01			"VTOL Strike Tower"

/*WALLTOWERS*/
WallTower01				"Heavy Machinegun Hardpoint"
WallTower02				"Light Cannon Hardpoint"
WallTower03				"Medium Cannon Hardpoint"
WallTower04				"Heavy Cannon Hardpoint"
WallTower05				"Flamer Hardpoint"
WallTower06				"Lancer Hardpoint"

GuardTower1				"Machinegun Guard Tower"
GuardTower2				"Twin Machinegun Guard Tower"
GuardTower3				"Heavy Machinegun Guard Tower"
GuardTower4				"Flamer Guard Tower"
GuardTower5				"Lancer Guard Tower"
GuardTower6				"Mini-Pod Rocket Guard Tower"

/*PILLBOXES*/
PillBox1				"Machinegun Bunker"
PillBox2				"Twin Machinegun Bunker"
PillBox3				"Heavy Machinegun Bunker"
PillBox4				"Light Cannon Bunker"
PillBox5				"Flamer Bunker"
PillBox6				"Lancer Bunker"

/*TANKTRAPS*/
A0TankTrap				"Tank Traps"
A0TankTrap2				"Dragon's Teeth"
TankTrapC				"Tank Traps"
TankTrap2C				"Dragon's Teeth"

/*VTOL STRUCTURES*/
A0VtolPad				"VTOL Rearming Pad"

/* EMPLACEMENTS */
Emplacement-Howitzer105			"Howitzer Emplacement"
Emplacement-PrisLas			"Flashlight Emplacement"
//Emplacement-Super			"*Emplacement-SuperGun*"
WallTower-PulseLas			"Flashlight Hardpoint"
WallTower-Rail2				"Rail Gun Hardpoint"
GuardTower-BeamLas			"*GuardTower-BeamLas*"
GuardTower-ATMiss			"Scourge Missile Tower"
GuardTower-Rail1			"Needle Gun Tower"
Emplacement-Rail3			"Gauss Cannon Emplacement"

/* PLAYER WEAPONS */
Cannon1Mk1				"Light Cannon"
Cannon2A-TMk1				"Medium Cannon"
Cannon375mmMk1				"Heavy Cannon"
Cannon4AUTOMk1				"Hyper Velocity Cannon"
Cannon5VulcanMk1			"Assault Cannon"

Flame1Mk1				"Flamer"
Flame2					"Inferno"

Howitzer105Mk1				"Howitzer"
Howitzer105Mk1-Pit			"Howitzer Emplacement"
Howitzer150Mk1				"Ground Shaker"
Howitzer150Mk1-Pit			"Ground Shaker Emplacement"
Howitzer03-Rot				"Hellstorm"
Howitzer03-Rot-Pit			"Hellstorm Emplacement"
//Howitzer04-Inc				"Hellfire"

//Laser1PRISMATICMk1			"Flashlight"
Laser2PULSEMk1				"Pulse Laser"


MG1Mk1				"Machinegun"
MG1-Pillbox				"Machinegun Bunker"
MG2Mk1				"Twin Machinegun"
MG2-Pillbox				"Twin Machinegun Bunker"
MG3Mk1				"Heavy Machinegun"
MG3-Pillbox				"Heavy Machinegun Bunker"
MG4ROTARYMk1			"Assault Gun"

//Missile-BB				"Devastator Missile"
Missile-A-T				"Scourge Missile"
Missile-MdArt			"Angel Missile"
Missile-HvySAM			"Vindicator SAM"
Missile-HvyArt			"Archangel Missile"

Missile-LtSAM			"Avenger SAM"
//Missile-VTOL-BB			"VTOL Devastator Missile"
Missile-VTOL-AT			"VTOL Scourge Missile"

Mortar1Mk1				"Mortar"
Mortar1Mk1-Pit			"Mortar Emplacement"
Mortar2Mk1				"Bombard"
Mortar2Mk1-Pit			"Bombard Emplacement"
Mortar3ROTARYMk1			"Pepperpot"
Mortar3ROTARYMk1-Pit		"Peperpot Emplacement"
RailGun1Mk1				"Needle Gun"
RailGun2Mk1				"Rail Gun"
RailGun3Mk1				"Gauss Cannon"
Rocket-LtA-T			"Lancer"
Rocket-MRL				"Mini-Rocket Artillery"
Rocket-BB				"Bunker Buster"
//Rocket04-Scud			"*Earthshaker*"
Rocket-Pod				"Mini-Pod"
Rocket-IDF				"Ripple Rockets"
Rocket-HvyA-T			"Tank Killer"
Rocket-VTOL-BB			"VTOL Bunker Buster"
Rocket-VTOL-Pod			"VTOL Mini-Pod"
Rocket-VTOL-LtA-T			"VTOL Lancer"
Rocket-VTOL-HvyA-T		"VTOL Tank Killer"

CyborgCannon			"Heavy Gunner"
CyborgCannon01			"*Cyborg Cannon*"
CyborgRocket			"Lancer"
CyborgChaingun			"Machine Gunner"
CyborgFlamer01				"Flamer"

TUTMG						"Machinegun"

CommandTurret1				"Command Turret"

AAGun1Mk1					"Tornado Flak Turret"
AAGun2Mk1					"Cyclone Flak Turret"

//Supergun					"*Supergun*"
PlasmaHeavy					"*Heavy Plasma Launcher*"

QuadRotAAGun				"Whirlwind AA Turret"
QuadMg1AAGun				"Hurricane AA Turret"
NavaroneGun					"*NavaroneGun*"

NX-CyborgMiss				"*NX-CyborgMiss*"
NX-CyborgChaingun				"*NX-CyborgChaingun*"
NX-CyborgPulseLas				"*NX-CyborgPulseLas*"
				   
LasSat					"LasSat"

Cannon1-VTOL				"VTOL Cannon"
Cannon4AUTO-VTOL				"VTOL Hyper Velocity Cannon"
Cannon5Vulcan-VTOL			"VTOL Assault Cannon"
Laser2PULSE-VTOL				"VTOL Pulse Laser"

MG1-VTOL					"VTOL Machinegun"
MG2-VTOL					"VTOL Twin Machinegun"
MG3-VTOL					"VTOL Heavy Machinegun"
MG4ROTARY-VTOL				"VTOL Assault Gun"
RailGun1-VTOL				"VTOL Needle Gun"
RailGun2-VTOL				"VTOL Rail Gun"

PBomb						"Proximity Bomb Turret"
SPBomb					"Proximity Superbomb Turret"

Bomb1-VTOL-LtHE				"VTOL Cluster Bombs Bay"
Bomb2-VTOL-HvHE				"VTOL Heap Bomb Bay"
Bomb3-VTOL-LtINC				"VTOL Phosphor Bomb Bay"
Bomb4-VTOL-HvyINC				"VTOL Thermite Bomb Bay"
											 
// Collective Specific Defensive Structures
CollectiveWall				"Collective Wall"
CollectiveCWall				"Collective CWall"
CO-Tower-MG3				"*CO-Tower-MG3*"
CO-Tower-RotMG				"*CO-Tower-RotMG*"
CO-Tower-MdCan				"*CO-Tower-MdCan*"
CO-WallTower-HvCan			"*CO-WallTower-HvCan*"
CO-WallTower-RotCan			"*CO-WallTower-RotCan*"
CO-Tower-HVCan				"*CO-Tower-HVCan*"
CO-Tower-HvFlame				"*CO-Tower-HvFlame*"
CO-Tower-HvATRkt				"*CO-Tower-HvATRkt*"
CO-Tower-LtATRkt				"*CO-Tower-LtATRkt*"
CO-Emp-Mortar2-Pit			"*CO-Emp-Mortar2-Pit*"
CO-Emp-How105-Pit				"*CO-Emp-How105-Pit*"
//CO-Emp-How150-Pit				"*CO-Emp-How150-Pit*"
//CO-Emp-RotHow-Pit				"*CO-Emp-RotHow-Pit*"
CO-Emp-RotMortar-Pit			"*CO-Emp-RotMortar-Pit*"
// CO-AASite-Flak1				"*CO-AASite-Flak1*"
// CO-AASite-Flak2				"*CO-AASite-Flak2*"
// CO-AASite-QuadMg1				"*CO-AASite-QuadMg1*"
// CO-AASite-QuadRotMg			"*CO-AASite-QuadRotMg*"
CO-AASite-SAM1				"*CO-AASite-SAM1*"

// NEXUS Specific Defensive Structures
NEXUSWall					"NEXUS Wall"
NEXUSCWall					"NEXUS CWall"
NX-Tower-Rail1				"*NX-Tower-Rail1*"
NX-Tower-ATMiss				"*NX-Tower-ATMiss*"
NX-Tower-PulseLas				"*NX-Tower-PulseLas*"
NX-WallTower-Rail2			"*NX-WallTower-Rail2*"
NX-WallTower-BeamLas			"*NX-WallTower-BeamLas*"
NX-WallTower-Rail3			"*NX-WallTower-Rail3*"
NX-Emp-MedArtMiss-Pit			"*NX-Emp-MedArtMiss-Pit*"
NX-Emp-MultiArtMiss-Pit			"*NX-Emp-MultiArtMiss-Pit*"
NX-Emp-Plasma-Pit				"*NX-Emp-Plasma-Pit*"
NX-AASite-SAM1				"*NX-AASite-SAM1*"
NX-AASite-SAM2				"*NX-AASite-SAM2*"

/*
 * RESEARCH TOPICS
 */
ZNullResearch				"*Z Null Research*"

CAM1RESEARCH				"CAM1 RESEARCH"
ADVANCEDRESEARCH				"ADVANCED RESEARCH"
CAM1VEHICLES				"CAM1 VEHICLES"
CAM1WEAPONS					"CAM1 WEAPONS"
CAM1SYSTEMS					"CAM1 SYSTEMS"
CAM1DEFENSES				"CAM1 DEFENSES"
CAM1STRUCTURES				"CAM1 STRUCTURES"
CAM2RESEARCH				"CAM2 RESEARCH"
CAM2VEHICLES				"CAM2 VEHICLES"
CAM2CYBORGS					"CAM2 CYBORGS"
CAM2WEAPONS					"CAM2 WEAPONS"
CAM2SYSTEMS					"CAM2 SYSTEMS"
CAM2DEFENSES				"CAM2 DEFENSES"
CAM2STRUCTURES				"CAM2 STRUCTURES"
//CAM2-COWall					"CAM2 Collective Wall"
